status,shelfmark_a,shelfmark_b,title_a,title_b,identification_candidate,span_letters,edit_density,supporting_page_pairs,sys_id_a,sys_id_b,page_a,page_b
confirmed,Ms. EVR ARAB I 3373,Ms. EVR ARAB I 3371,תרגום ופרוש נביאים ליפת בן עלי (מלכים א כב-מלכים ב).,"תרגום ופרוש נביאים ליפת בן עלי (מלכים ב י-יד, כב-כה, ירמיה נא-נב).",,994,0.173,1,990001551380205171,990001551360205171,130,38
confirmed,Ms. EVR II B 1210,Ms. EVR II B 95,נביאים וכתובים (קטעים).,נביאים (ישעיה-יחזקאל).,,992,0.126,1,990001577930205171,990001566300205171,124,52
confirmed,The National Library of Russia Box M.35,The National Library of Russia Box M.42,תפלה. מנהג קראים.,תפלה. מנהג קראים.,,979,0.314,1,997012281152805171,997012281150405171,31,32
confirmed,The National Library of Russia Box M.35,The National Library of Russia Box M.30,תפלה. מנהג קראים.,תפלה. מנהג קראים.,,979,0.314,1,997012281152805171,997012281153805171,31,32
confirmed,"Library at the Herbert D. Katz Center for Advanced Judaic Studies, University of Pennsylvania Ms. Genizah 130",Ms. EVR II A 559/02,"משנה תורה (ספר אהבה, הלכות תפלה יג:יד-סוף; הלכות תפילין א:ו-סוף).",משנה תורה (ספר אהבה).,,956,0.177,1,990001935530205171,990000851360205171,19,6
confirmed,Ms. EVR II C 2,Ms. EVR II B 508,תורה.,"תנ""ך (קטעים).",,955,0.121,1,990001583560205171,990001570540205171,9,5
confirmed,Ms. EVR ARAB II 1150,Ms. EVR ARAB I 3904,אלמקדמאת.,תרגום ופרוש ערבי לכתובים (קהלת).,,955,0.397,1,990001603840205171,990001556590205171,147,37
confirmed,Ms. EVR ARAB I 328,Ms. EVR ARAB I 22,"פרוש התורה ליפת בן עלי (בראשית, קטעים).",פרוש התורה (בראשית).,,921,0.236,1,990001116950205171,990025023170205171,177,18
confirmed,The National Library of Russia Box N.13,Ms. EVR II A 2327,מאמרים במעלת התפילה וקדושת בית הכנסת.,סדור מנהג קראים לשבת.,,888,0.291,1,997012160770705171,990001458500205171,11,10
confirmed,Ms. EVR II A 2327,The National Library of Russia Box N.77,סדור מנהג קראים לשבת.,"משנה תורה (ספר זמנים, שבת טז-יח, קטעים).",,888,0.291,1,990001458500205171,997012218874705171,10,11
confirmed,Cambridge University Library Ms. T-S NS 11.3,Ms. EVR II B 1020,מקרא;מקרא [טקסט]. ; Bible: Leviticus 5:11 – 7:10; 15:11 – 16:24 ; מקרא: ויקרא ה:יא – ז:י; טו:יא – טז:כד,תורה (ויקרא ה:טז-יד:נא).,,887,0.321,1,990051386230205171,990001575950205171,2,5
confirmed,Ms. EVR II B 54,MS heb. b.7/17,תורה.,מקרא [טקסט]. ; Bible: Exodus 21:5 – 23:3; 24:22 – 30:33 ; מקרא: שמות כא:ה – כג:ג; כד:כב – ל:לג,,873,0.131,1,990001566120205171,990053388550205171,139,1
confirmed,Ms. EVR II A 2063,The National Library of Russia Box M.80,סדור מנהג ארצות המזרח(?) (קטע).,תפלה. מנהג קראים. (פסח).,,872,0.255,1,990001455530205171,997012281138005171,13,87
confirmed,Cambridge University Library Ms. T-S NS 213.41,Cambridge University Library Ms. T-S NS 85.30,,,,867,0.187,1,990051588140205171,990051447710205171,2,1
confirmed,Ms. EVR II B 1011,Ms. EVR II B 966,תורה (קטעים).,תורה (קטעים).,,863,0.146,1,990001575850205171,990001575390205171,90,77
confirmed,Ms. EVR II A 10,Ms. heb. d. 20.54,מנורת המאור.,"תלמוד בבלי [טקסט]. ; Talmud Bavli: Sotah 18 a – 30 b; 35 a – 39 a; 45 a – 49 b; 3 b – 16 b ; תלמוד בבלי: סוטה יח ע""א – ל ע""ב; לה ע""א – לט ע""א; מה ע""א – מט ע""ב; ג ע""ב – טז ע""ב",,862,0.271,1,990001428240205171,990053401600205171,43,2
confirmed,Ms. EVR II A 826,Ms. EVR II B 1442,סדור מנהג קראים (קטעים).,כתובים (תהלים סח:טז-עח:מט).,,850,0.315,1,990001442680205171,990001582100205171,118,8
confirmed,Ms. EVR II A 818,Ms. EVR II A 848,סדור מנהג קראים (קטעים).,סדור מנהג קראים.,,842,0.255,1,990001442600205171,990001442900205171,14,19
confirmed,Ms. Evr. Antonin B 466,Cambridge University Library Ms. T-S Misc. 17.4,"נביאים (ישעיה יז:ח-כא:יג, לג:ו-לו:ח).",מקרא [טקסט]. ; Bible: Joshua ; מקרא: יהושע,,834,0.218,1,990001663620205171,990051363340205171,5,4
confirmed,Ms. EVR II B 1014,Ms. EVR II B 966,תורה (קטעים).,תורה (קטעים).,,811,0.187,1,990001575890205171,990001575390205171,14,77
confirmed,Cambridge University Library Ms. T-S Misc. 14.37.6,Cambridge University Library Ms. T-S NS 28.218,"הלכות הרי""ף; תלמוד בבלי [טקסט]. ; Talmud Bavli: Shabbat 2 b – 3 b; 51 b – 52 b; 56 a – 57 a; 131 a; a – b ; תלמוד בבלי: שבת ב ע""ב – ג ע""ב; נא ע""ב – נב ע""ב; נו ע""א – נז ע""א; קלא ע""א; ע""א – ע""ב",Bible: Song of Songs 6:5 – 8:14 ; מקרא: שיר השירים ו:ה – ח:יד,,798,0.193,1,990051080040205171,990051404160205171,4,1
confirmed,Ms. EVR ARAB I 4785,Ms. EVR ARAB I 4652,פרוש התורה בערבית לאבו אלפרג' (בראשית-שמות).,פרוש התורה ליפת בן עלי.,,788,0.183,1,990001564600205171,990001563400205171,33,12
confirmed,Ms. EVR ARAB I 2849,Ms. EVR ARAB I 1379,אלמרשד אלכאפי.,אלמרשד אלכאפי.,,778,0.285,1,990001547060205171,990001532490205171,179,171
candidate,Cambridge University Library Ms. T-S F 3.130,Cambridge University Library Ms. T-S F 1(1).72,"פירושי תלמוד בבלי;תלמוד בבלי [טקסט]. ; Talmud Bavli: Hagigah 5 b – 8 b ; תלמוד בבלי: חגיגה ה ע""ב – ח ע""ב","תלמוד בבלי [טקסט]. ; Talmud Bavli: Hagigah 7 b – 8 b ; תלמוד בבלי: חגיגה ז ע""ב – ח ע""ב",,773,0.344,1,990051169460205171,990051163500205171,16,1
candidate,The National Library of Russia Box M.46,Ms. EVR II A 818,תפלה. מנהג קראים. (יום כפור).,סדור מנהג קראים (קטעים).,,785,0.353,1,997012281147005171,990001442600205171,165,14
candidate,Ms. EVR ARAB I 4158,Ms. EVR ARAB I 42,תרגום ופרוש ערבי לתורה.,פרוש התורה ליפת בן עלי (שמות).,,820,0.237,1,990001558900205171,990001384210205171,49,203
candidate,The National Library of Russia Box M.56,Ms. EVR II A 2697,תפלה. מנהג קראים.,תפלות מנהג קראים לשבת.,,771,0.257,1,997012281144505171,990001462350205171,87,5
candidate,Ms. EVR II A 2697,The National Library of Russia Box M.80,תפלות מנהג קראים לשבת.,תפלה. מנהג קראים. (פסח).,,771,0.257,1,990001462350205171,997012281138005171,5,87
candidate,Cambridge University Library Ms. T-S NS 271.77,Ms. EVR II A 850,"סדרי ברכות (ברכות הנהנין, השבח, המצוות);תפילה וברכות;תפילות קבע. ; Common Prayers: Pesah ; תפילות קבע: פסח",סדור מנהג קראים.,,780,0.236,2,990051644170205171,990001442920205171,5,53
candidate,Cambridge University Library Ms. T-S NS 11.3,Cambridge University Library Ms. T-S NS 29.67,מקרא;מקרא [טקסט]. ; Bible: Leviticus 5:11 – 7:10; 15:11 – 16:24 ; מקרא: ויקרא ה:יא – ז:י; טו:יא – טז:כד,Targum Onqelos: Leviticus Vayiqra 5:15 – 6:2 ; תרגום אונקלוס: ויקרא ויקרא ה:טו – ו:ב,,767,0.229,1,990051386230205171,990051406030205171,2,2
candidate,Cambridge University Library Ms. T-S AS 197.365,Ms. EVR II B 290,,תורה ונביאים ראשונים (קטעים).,YES,764,0.322,1,990052342980205171,990001568130205171,2,53
candidate,Ms. EVR II B 151,Cambridge University Library Ms. T-S AS 198.68,תורה (קטעים).,,YES,761,0.339,1,990001566790205171,990052346490205171,29,1
candidate,Ms. EVR ARAB I 1326,Ms. EVR ARAB I 446,קובץ חבורי אליהו בן אהרן אבן עבד אלולי.,כתאב אלמרשד (קטעים מן המאמר הרביעי והמאמר החמישי).,,757,0.194,1,990001023180205171,990001059600205171,123,25
candidate,Ms. EVR II B 41,Cambridge University Library Ms. T-S NS 166.179,תורה.,,YES,754,0.125,1,990001566050205171,990051552000205171,106,15
candidate,Ms. EVR ARAB I 1326,Ms. EVR ARAB II 492,קובץ חבורי אליהו בן אהרן אבן עבד אלולי.,מכתצר כתאב אלמרשד.,,752,0.267,3,990001023180205171,990001226950205171,58,12
candidate,Ms. EVR I Bibl. 50,Ms. EVR II B 140,תורה (במדבר ט:יג-דברים יב:כה).,תורה (קטעים).,,759,0.175,1,990039296650205171,990001566680205171,9,70
candidate,Ms. EVR ARAB I 158,Ms. EVR ARAB I 150,"פרוש נביאים ליפת בן עלי (שמואל, מלכים, קטעים).",פרוש נביאים (שמואל).,,744,0.231,1,990001523010205171,990001522940205171,24,53
candidate,Ms. Evr. Antonin A 1,Ms. EVR II B 1167,"תנ""ך.",נביאים (שמואל א טז:כג-יח:ה).,,783,0.39,1,990000895680205171,990001577490205171,67,7
candidate,Ms. EVR II B 1283,Ms. EVR II A 2117,נביאים אחרונים (קטעים).,תפלות לשבת.,,741,0.224,1,990000571850205171,990001456190205171,26,20
candidate,Ms. EVR II A 2697,Ms. EVR II A 2063,תפלות מנהג קראים לשבת.,סדור מנהג ארצות המזרח(?) (קטע).,,787,0.257,1,990001462350205171,990001455530205171,5,13
candidate,Ms. EVR II A 255/02,Ms. EVR II A 14,ספר השרשים (בלתי שלם).,ספר השרשים.,,736,0.277,1,990000851550205171,990000845950205171,75,73
candidate,Ms. EVR II B 1404,Cambridge University Library Ms. T-S NS 30.222,כתובים (קטעים).,,YES,735,0.158,1,990001581620205171,990051409580205171,34,3
candidate,Ms. EVR ARAB II 904,Ms. EVR ARAB I 330,אלמקדמאת.,אלמקדמאת.,,738,0.257,1,990001601810205171,990001524540205171,52,245
candidate,Ms. EVR II B 83,Ms. EVR II B 321,"נביאים וכתובים : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.","נביאים (ישעיה-ירמיה, קטעים).",,724,0.131,1,990000991200205171,990001568440205171,192,34
candidate,Ms. FR 9-002.1,Or. 5557Q.18,"תלמוד בבלי סדר מועד (שבת ב ע""ב-טו ע""ב).",משנה [טקסט];פיוט;תוספות של סידור;תפילה וברכות;תפילות קבע. ; Liturgical additions: Haggadah (and other matters) of Pesach ; משנה: שבת ב,,723,0.224,1,990001748410205171,990053507760205171,15,2
candidate,Cambridge University Library Ms. T-S Misc. 14.42.13,Ms. EVR II B 808,"הלכות הרי""ף. ; Isaac Al-Fasi, Hilkhot ha-Rif: Shabbat 58 a – b ; יצחק אלפסי, הלכות הרי""ף: שבת נח ע""א – ע""ב","כתובים (תהלים, קטעים).",,723,0.196,1,990051080200205171,990001573800205171,2,28
candidate,Ms. EVR II A 2063,Cambridge University Library Ms. T-S AS 18.123,סדור מנהג ארצות המזרח(?) (קטע).,"מזוזות;מקרא [טקסט]. ; Deuteronomy 6:4-911:13-21, a mezuzah",,801,0.207,1,990001455530205171,990051795070205171,13,1
candidate,Ms. EVR II A 2063,"Gaster, Moses Collection",סדור מנהג ארצות המזרח(?) (קטע).,מזוזה.,,795,0.192,1,990001455530205171,990038546680205171,13,4
candidate,Cambridge University Library Ms. T-S A 44.5,Ms. EVR II A 2063,מזוזות;תפילה וברכות. ; Mezuzot: Deuteronomy 6:4 – 9; 11:13 – 21 ; מזוזות: דברים ו:ד – ט; יא:יג – כא,סדור מנהג ארצות המזרח(?) (קטע).,,792,0.247,1,990051143700205171,990001455530205171,1,13
candidate,Ms. EVR II A 433,Ms. EVR II A 1426,"פרוש נביאים לרד""ק (הפטרות האזינו-יום כפור).","פרוש נביאים לרד""ק (ישעיה נח:ב-נח:ז, סא:ח-סא:יא).",,757,0.374,1,990000869060205171,990000936610205171,17,4
candidate,Ms. EVR II B 40,Ms. EVR II B 1388,"כתובים : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.","כתובים (תהלים, דברי הימים, קטעים).",,724,0.167,1,990001566040205171,990001579710205171,207,9
candidate,Ms. EVR II B 94,Ms. EVR II B 288,"נביאים וכתובים (קטעים) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.",כתובים (קטעים).,,710,0.3,1,990000571870205171,990001568110205171,97,17
candidate,Ms. EVR ARAB I 159b,Ms. EVR II B 1210,קובץ חבורי אליהו בן אהרן אבן עבד אלולי.,נביאים וכתובים (קטעים).,,714,0.228,1,990001059540205171,990001577930205171,184,81
candidate,Ms. EVR ARAB II 3331,Ms. EVR ARAB I 4520,"פרוש התורה בערבית (שמות, קטע).",כתאב אלאנואר ואלמראקב (קטע) : ; על ענין יום כפור.,,743,0.211,1,990000997110205171,990000859850205171,170,73
candidate,Ms. EVR II B 1516,Ms. EVR II A 850,כתובים (תהלים קט:ז-קיט:טז).,סדור מנהג קראים.,,707,0.249,2,990001582860205171,990001442920205171,14,53
candidate,Ms. EVR II B 13,Ms. EVR II B 101,תורה.,תורה.,,718,0.238,1,990001565910205171,990001566350205171,244,111
candidate,Ms. FR 9-002.2,Or. 5557Q.18,"תלמוד בבלי סדר מועד (שבת יח ע""ב-מז ע""ב).",משנה [טקסט];פיוט;תוספות של סידור;תפילה וברכות;תפילות קבע. ; Liturgical additions: Haggadah (and other matters) of Pesach ; משנה: שבת ב,,718,0.309,2,990001996710205171,990053507760205171,17,2
candidate,Ms. EVR ARAB II 864,Ms. EVR ARAB II 1130,אלמקדמאת.,אלמקדמאת.,,700,0.311,1,990001601220205171,990001603680205171,77,183
candidate,Ms. EVR II B 80,Ms. EVR I Bibl. 50,"תורה : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.",תורה (במדבר ט:יג-דברים יב:כה).,,699,0.183,1,990000989570205171,990039296650205171,207,49
candidate,Ms. EVR II A 2363,Ms. EVR II A 2942,תפלות מנהג קראים.,תפלות מנהג קראים לשבועות.,,700,0.217,1,990001458860205171,990001464880205171,54,46
candidate,Ms. EVR II A 2716,Ms. EVR II A 832,הלל (קטעים).,סדור מנהג קראים.,,719,0.303,1,990001462520205171,990001442740205171,7,12
candidate,Ms. EVR II B 344,Ms. EVR II B 178,"תנ""ך (קטעים).","תורה (דברים, קטעים).",,699,0.283,1,990001568660205171,990001567050205171,9,6
candidate,Ms. EVR IV 57,Ms. EVR ARAB I 423,אלמקדמאת.,אלמקדמאת.,,692,0.218,1,990001591860205171,990001525370205171,70,125
candidate,The National Library of Russia Box O.151,The National Library of Russia Box O.158,פרקי רבי אליעזר (לד).,סליחות.,,698,0.324,1,997012124341105171,997012124338705171,151,149
candidate,The National Library of Russia Box O.151,The National Library of Russia Box O.72,פרקי רבי אליעזר (לד).,פרוש התורה (בראשית א:יד-טז).,,698,0.324,1,997012124341105171,997012091076005171,151,5
candidate,The National Library of Russia Box O.151,The National Library of Russia Box O.95,פרקי רבי אליעזר (לד).,כד הקמח (אבל א-ב).,,698,0.324,1,997012124341105171,997012091067305171,151,149
candidate,Ms. EVR ARAB II 1151,Ms. EVR ARAB I 1819,אלמקדמאת.,אלמקדמאת.,,1598,0.563,2,990001603850205171,990001536100205171,99,62
candidate,Ms. EVR II A 2905,Ms. EVR II A 2367,מחזור מנהג קראים (קטעים).,תפלות מנהג קראים.,,697,0.212,1,990001464460205171,990001458900205171,228,82
candidate,Ms. EVR II B 83,Ms. EVR II B 1210,"נביאים וכתובים : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.",נביאים וכתובים (קטעים).,,794,0.338,1,990000991200205171,990001577930205171,229,65
candidate,Ms. EVR ARAB II 1124,Ms. EVR ARAB I 216,אלמקדמאת.,"פרוש כתובים ליפת בן עלי (משלי, קטעים).",,692,0.308,1,990001603640205171,990001523580205171,236,20
candidate,Ms. EVR II B 40,Ms. EVR II A 2497,"כתובים : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.",סדור מנהג קראים לצומות (קטע).,,682,0.201,1,990001566040205171,990001460210205171,207,9
candidate,Cambridge University Library Ms. T-S Misc. 34.2,The National Library of Russia Box M.29,פיוט;שירת חול;תפילה וברכות. ; Liturgy and Brakhot ; תפילה וברכות,תפלה. מנהג קראים.,,693,0.398,1,990051381880205171,997012281154405171,17,171
candidate,Cambridge University Library Ms. T-S NS 271.77,Ms. EVR II B 1516,"סדרי ברכות (ברכות הנהנין, השבח, המצוות);תפילה וברכות;תפילות קבע. ; Common Prayers: Pesah ; תפילות קבע: פסח",כתובים (תהלים קט:ז-קיט:טז).,,673,0.281,3,990051644170205171,990001582860205171,5,14
candidate,Ms. EVR II B 290,Ms. EVR II B 79,תורה ונביאים ראשונים (קטעים).,"תורה : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.",,816,0.352,1,990001568130205171,990000989540205171,30,117
candidate,Ms. EVR ARAB I 1686,Ms. EVR ARAB I 4766,קבץ קטעים שרובם מחבורים קראיים.,"פרוש התורה (ויקרא, קטע).",,690,0.364,2,990000923330205171,990001564420205171,206,9
candidate,Ms. EVR II B 74,Ms. EVR II B 79,"תורה : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.","תורה : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.",,670,0.267,1,990000989530205171,990000989540205171,155,123
candidate,Ms. EVR II B 399,Ms. EVR II B 33,"תורה (במדבר, קטעים).","תורה : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.",,664,0.306,1,990001569210205171,990001004960205171,3,141
candidate,Ms. EVR ARAB I 159b,Ms. EVR ARAB I 446,קובץ חבורי אליהו בן אהרן אבן עבד אלולי.,כתאב אלמרשד (קטעים מן המאמר הרביעי והמאמר החמישי).,,677,0.31,1,990001059540205171,990001059600205171,164,25
candidate,The National Library of Russia Box M.56,Ms. EVR II A 1022,תפלה. מנהג קראים.,סדור מנהג קראים.,,867,0.34,1,997012281144505171,990001444730205171,87,17
candidate,Ms. EVR II A 1022,The National Library of Russia Box M.80,סדור מנהג קראים.,תפלה. מנהג קראים. (פסח).,,867,0.34,1,990001444730205171,997012281138005171,17,87
candidate,Ms. EVR ARAB II 896,Ms. EVR ARAB I 1623,"פרוש התורה (במדבר, פרשת בהעלותך).",פרוש התורה (במדבר).,,660,0.209,1,990001601730205171,990001534660205171,14,31
candidate,Ms. EVR ARAB II 896,Ms. EVR ARAB I 297,"פרוש התורה (במדבר, פרשת בהעלותך).",פרוש התורה (במדבר).,,944,0.37,4,990001601730205171,990001524280205171,7,12
candidate,Cambridge University Library Ms. T-S NS 25.198,Ms. EVR II C 443,,תורה (שמות).,YES,664,0.149,1,990051393590205171,990001588260205171,3,27
